============================================================
           BRUTE-FORCE NEAR-DUPLICATE DETECTION            
============================================================

=== Parameters ===
Shingle size (k): 4
Similarity threshold: 0.7
Total comparisons: 999900
Execution time: 124.520 seconds

=== Detection Results ===
Query Document           Matched Corpus           Similarity
-----------------------------------------------------------------
IELTS_001_VAR_001        IELTS_001                0.9273
IELTS_001_VAR_002        IELTS_001                0.8916
IELTS_001_VAR_003        IELTS_001                0.8558
IELTS_001_VAR_004        IELTS_001                0.8881
IELTS_001_VAR_005        IELTS_001                0.9239
IELTS_001_VAR_006        IELTS_001                0.8641
IELTS_001_VAR_007        IELTS_001                0.9027
IELTS_001_VAR_008        IELTS_001                0.8793
IELTS_001_VAR_009        IELTS_001                0.9733
IELTS_001_VAR_010        IELTS_001                0.8892
IELTS_001_VAR_011        IELTS_001                0.9169
IELTS_001_VAR_012        IELTS_001                0.8456
IELTS_001_VAR_013        IELTS_001                0.8544
IELTS_001_VAR_014        IELTS_001                0.9707
IELTS_001_VAR_015        IELTS_001                0.8617
IELTS_001_VAR_016        IELTS_001                0.9757
IELTS_001_VAR_017        IELTS_001                0.9169
IELTS_001_VAR_018        IELTS_001                0.9733
IELTS_001_VAR_019        IELTS_001                0.9215
IELTS_001_VAR_020        IELTS_001                0.9169
IELTS_001_VAR_021        IELTS_001                0.8349
IELTS_001_VAR_022        IELTS_001                0.9158
IELTS_001_VAR_023        IELTS_001                0.8686
IELTS_001_VAR_024        IELTS_001                0.9052
IELTS_001_VAR_025        IELTS_001                0.9395
IELTS_001_VAR_026        IELTS_001                0.8491
IELTS_001_VAR_027        IELTS_001                0.9474
IELTS_001_VAR_028        IELTS_001                0.9073
IELTS_001_VAR_029        IELTS_001                0.8925
IELTS_001_VAR_030        IELTS_001                0.8571
IELTS_001_VAR_031        IELTS_001                0.9424
IELTS_001_VAR_032        IELTS_001                0.8500
IELTS_001_VAR_033        IELTS_001                0.8916
IELTS_001_VAR_034        IELTS_001                0.8596
IELTS_001_VAR_035        IELTS_001                0.8623
IELTS_001_VAR_036        IELTS_001                0.8213
IELTS_001_VAR_037        IELTS_001                0.7991
IELTS_001_VAR_038        IELTS_001                0.7440
IELTS_001_VAR_039        IELTS_001                0.8005
IELTS_001_VAR_040        IELTS_001                0.8167
IELTS_001_VAR_041        IELTS_001                0.7534
IELTS_001_VAR_042        IELTS_001                0.7915
IELTS_001_VAR_043        IELTS_001                0.7668
IELTS_001_VAR_044        IELTS_001                0.7445
IELTS_001_VAR_045        IELTS_001                0.8252
IELTS_001_VAR_046        IELTS_001                0.7572
IELTS_001_VAR_047        IELTS_001                0.7793
IELTS_001_VAR_048        IELTS_001                0.8142
IELTS_001_VAR_049        IELTS_001                0.8005
IELTS_001_VAR_050        IELTS_001                0.8266
IELTS_001_VAR_051        IELTS_001                0.8306
IELTS_001_VAR_052        IELTS_001                0.7986
IELTS_001_VAR_053        IELTS_001                0.8440
IELTS_001_VAR_054        IELTS_001                0.7557
IELTS_001_VAR_055        IELTS_001                0.8325
IELTS_001_VAR_056        IELTS_001                0.8432
IELTS_001_VAR_057        IELTS_001                0.8251
